ID,IID,STATIONID,STATIONNAME,MCODE,GRNDELEV,INSTHEIGHT,LATITUDE,LONGITUDE,BTMLONG,BTMLAT,INSDATE,U2,REMARKS
1,950,11704,BARISAL,950,2.54,12.8,22.7,90.37,534184.2,515676.5,01-Apr-63,0.72,Town
2,951,11706,BHOLA,951,4.74,8.5,22.68,90.65,566759.4,508368.25,13-Jul-70,0.77,Town
3,883,10408,BOGRA,883,18.44,14.6,24.85,89.36,436054.6,748258.56,04-Jan-43,0.71,Town
4,941,11316,CHANDPUR,941,6.04,11.9,23.22,90.66,571586.1,573037.43,13-Mar-64,0.73,Town
5,978,11921,CHITTAGONG,978,6.24,12.5,22.26,91.81,687195.8,463303.25,23-Nov-46,0.72,Airport
6,933,11313,COMILLA,933,6.54,8.5,23.46,91.18,620834.4,591736.18,12-Mar-72,0.77,Airport
7,992,11927,COXS BAZAR,992,2.54,12.5,21.44,91.97,704374.4,372851.71,04-Jun-51,0.72,Airport
8,923,11111,DHAKA,923,9.14,10,23.76,90.38,539020.2,628265.68,01-Jan-58,0.75,"Town, To be confirmed for InsHeight"
9,863,10120,DINAJPUR,863,36.44,12,25.63,88.65,367820.7,837345.31,20-May-83,0.73,Town
10,929,11505,FARIDPUR,41929,8.54,11.4,23.6,89.83,484698.5,609734.43,07-May-83,0.73,Town
11,943,11805,FENI,41943,6.74,12,23.01,91.4,645171.1,547665.37,12-Nov-73,0.73,Town
12,963,11814,HATIYA,41963,2.84,12.3,22.38,91.11,614443,475931.75,01-Jul-65,0.72,Island
13,907,10910,ISHWARDI,41907,13.34,6.4,24.14,89.06,403484.9,669057.5,12-Apr-63,0.8,Airport
14,936,11407,JESSORE,41936,6.54,11,23.17,89.21,414758.2,563810.5,20-Jun-57,0.74,Airport
15,984,12110,KHEPUPARA,41984,2.24,14.9,21.99,90.24,525029.1,431742.96,30-Jul-73,0.7,Near Sea
16,947,11604,KHULNA,41947,2.54,11.7,22.8,89.55,452071,519366.46,09-May-21,0.73,Town
17,989,11925,KUTUBDIA,41989,3.14,11.6,21.82,91.86,692382.2,413875.87,20-Jun-77,0.73,Island
18,939,11513,MADARIPUR,41939,7.44,10,23.16,90.2,518728.2,561807.18,18-Sep-76,0.75,"Town, To be confirmed for InsHeight"
19,853,11809,MAIJDEE COURT,41953,5.34,11.2,22.84,91.1,612828.8,529009.43,03-Aug-83,0.74,Town
20,886,10609,MYMENSINGH,41886,18.44,11,24.74,90.42,543787.4,733454.06,01-Jan-77,0.74,Agri University
21,960,12103,PATUAKHALI,41960,1.94,11.3,22.34,90.31,534287.1,469521,06-Jun-73,0.73,Town
22,895,10320,RAJSHAHI,41895,17.24,12.1,24.36,88.6,368163.9,695253.12,20-Jun-63,0.73,Near University
23,966,12007,RANGAMATI,41966,69.34,11.9,22.65,92.18,724199.6,506399.03,12-Jan-57,0.73,Hilly Station
24,859,10208,RANGPUR,41859,33.04,11.3,25.73,89.23,423077.2,846101.68,22-May-83,0.73,Town
25,964,11916,SANDWIP,41964,2.54,11.8,22.51,91.43,647870.1,490605.93,01-May-66,0.73,Island
26,946,11610,SATKHIRA,41946,4.44,12,22.72,89.07,405840,512276.34,20-May-21,0.73,Town
27,965,11912,SITAKUNDA,41965,7.74,11.8,22.61,91.66,672705.1,494132.25,13-May-77,0.73,Near Highway
28,915,10724,SREEMANGAL,41915,22.54,12.2,24.3,91.73,675847.8,688313,08-Mar-05,0.73,Tea Garden
29,891,10705,SYLHET,41891,33.94,6.4,24.89,91.88,690162.4,754961.81,01-May-52,0.8,Town & Hill Top
30,909,41909,TANGAIL,41909,10.64,11.4,24.25,89.91,491575.5,681685.56,27-May-83,0.73,Near Mosque
31,998,11929,TEKNAF,41998,5.44,8.2,20.86,92.3,739262.8,308951.09,16-Dec-76,0.77,Near Sea
